index,slack,datapath_delay,logic_levels,startpoint,endpoint
4509,-0.221,2.201,5,bf_cycle_reg[1]/C,signal_reg_reg[0][16]/D
4510,-0.221,2.202,7,operand_x_reg_reg[34][1]/C,lane_product_reg_reg[66][1]/D
4511,-0.221,2.204,7,operand_x_reg_reg[36][2]/C,lane_product_reg_reg[68][2]/D
4512,-0.221,2.201,5,bf_cycle_reg[2]/C,signal_reg_reg[62][7]/D
4513,-0.221,2.200,6,bf_cycle_reg[3]/C,signal_reg_reg[57][19]/D
4514,-0.220,2.201,5,bf_cycle_reg[3]/C,signal_reg_reg[2][18]/D
4515,-0.220,2.200,5,bf_cycle_reg[0]/C,signal_reg_reg[73][7]/D
4516,-0.220,2.200,7,operand_coeff_reg_reg[16][0]/C,lane_product_reg_reg[100][1]/D
4517,-0.220,2.200,5,bf_cycle_reg[2]/C,signal_reg_reg[78][7]/D
4518,-0.220,2.201,5,bf_cycle_reg[0]/C,signal_reg_reg[99][6]/D
4519,-0.220,2.201,6,bf_cycle_reg[2]/C,signal_reg_reg[22][16]/D
4520,-0.220,2.201,6,bf_cycle_reg[2]/C,signal_reg_reg[49][16]/D
4521,-0.220,2.200,6,bf_cycle_reg[2]/C,signal_reg_reg[89][9]/D
4522,-0.220,2.201,3,bf_cycle_reg[5]/C,signal_reg_reg[54][5]/D
4523,-0.219,2.199,7,operand_x_reg_reg[26][0]/C,lane_product_reg_reg[26][2]/D
4524,-0.219,2.200,7,operand_coeff_reg_reg[34][3]/C,lane_product_reg_reg[34][1]/D
4525,-0.219,2.201,7,operand_x_reg_reg[33][0]/C,lane_product_reg_reg[65][0]/D
4526,-0.219,2.199,5,bf_cycle_reg[2]/C,signal_reg_reg[62][5]/D
4527,-0.219,2.199,5,bf_cycle_reg[2]/C,signal_reg_reg[78][5]/D
4528,-0.219,2.200,5,bf_cycle_reg[2]/C,signal_reg_reg[18][6]/D
4529,-0.219,2.199,4,bf_cycle_reg[5]/C,signal_reg_reg[36][4]/D
4530,-0.219,2.199,7,bf_cycle_reg[1]/C,signal_reg_reg[102][17]/D
4531,-0.219,2.199,7,bf_cycle_reg[1]/C,signal_reg_reg[106][17]/D
4532,-0.218,2.199,5,bf_cycle_reg[2]/C,signal_reg_reg[83][15]/D
