index,slack,datapath_delay,logic_levels,startpoint,endpoint
689,-0.668,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][13]/CE
690,-0.668,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][14]/CE
691,-0.668,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][15]/CE
692,-0.668,2.650,5,vector_buf_a_reg[49][4]/C,operand_x_reg_reg[27][4]/D
693,-0.668,2.649,5,vector_buf_b_reg[13][4]/C,operand_x_reg_reg[26][4]/D
694,-0.667,2.649,1,issue_cycle_reg[1]_rep__4/C,sched_coeff_reg_reg[35][4]/D
695,-0.667,2.648,4,vector_buf_a_reg[7][0]/C,operand_x_reg_reg[56][0]/D
696,-0.667,2.648,6,bf_cycle_reg[0]/C,signal_reg_reg[66][9]/D
697,-0.667,2.648,6,bf_cycle_reg[0]/C,signal_reg_reg[82][9]/D
698,-0.667,2.649,3,vector_buf_b_reg[35][8]/C,operand_x_reg_reg[1][8]/D
699,-0.667,2.648,7,operand_x_reg_reg[15][2]/C,lane_product_reg_reg[15][9]/D
700,-0.667,2.647,6,bf_cycle_reg[1]/C,signal_reg_reg[96][19]/D
701,-0.667,2.648,1,issue_active_reg_rep__0/C,sched_valid_reg_reg[121]_rep__45/D
702,-0.667,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][4]/CE
703,-0.667,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][5]/CE
704,-0.667,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][6]/CE
705,-0.667,2.562,2,red_cycle_reg[5]/C,red_s0_data_reg[17][7]/CE
