index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,startpoint,endpoint,start_loc,end_loc,start_fanout
324,B_kernel_control_to_p4_input_mem,-0.901000,2.882000,0.574000,2.308000,"6","lfnst_grid_reg[10][8]/C","u_unified_p4_kernel/input_mem_reg[1][24][8]/D","SLICE_X103Y77","SLICE_X75Y21",""
325,B_kernel_control_to_p4_input_mem,-0.901000,2.883000,0.436000,2.447000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[0][49][11]/D","SLICE_X87Y62","SLICE_X105Y38",""
326,B_kernel_control_to_p4_input_mem,-0.901000,2.882000,0.436000,2.446000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[3][53][11]/D","SLICE_X87Y62","SLICE_X108Y36",""
327,B_kernel_control_to_p4_input_mem,-0.900000,2.882000,0.601000,2.281000,"6","lfnst_grid_reg[31][14]/C","u_unified_p4_kernel/input_mem_reg[3][24][14]/D","SLICE_X102Y88","SLICE_X73Y35",""
328,B_kernel_control_to_p4_input_mem,-0.900000,2.880000,0.546000,2.334000,"6","lfnst_grid_reg[20][14]/C","u_unified_p4_kernel/input_mem_reg[0][50][14]/D","SLICE_X103Y71","SLICE_X85Y18",""
329,B_kernel_control_to_p4_input_mem,-0.900000,2.880000,0.461000,2.419000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[0][50][12]/D","SLICE_X101Y76","SLICE_X85Y18",""
330,E_other,-0.899000,2.881000,1.676000,1.205000,"7","u_bounded_lfnst_engine/input_terms_q_reg[177]_replica/C","u_bounded_lfnst_engine/products_q_reg[11][1]/D","SLICE_X97Y110","SLICE_X101Y110",""
331,B_kernel_control_to_p4_input_mem,-0.899000,2.880000,0.474000,2.406000,"6","lfnst_grid_reg[10][8]/C","u_unified_p4_kernel/input_mem_reg[1][38][8]/D","SLICE_X103Y77","SLICE_X86Y9",""
332,B_kernel_control_to_p4_input_mem,-0.899000,2.882000,0.462000,2.420000,"5","kernel_phase_q_reg[3]/C","u_unified_p4_kernel/input_mem_reg[3][43][0]/D","SLICE_X87Y62","SLICE_X103Y20",""
333,B_kernel_control_to_p4_input_mem,-0.899000,2.881000,0.639000,2.242000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[0][54][0]/D","SLICE_X100Y81","SLICE_X82Y18",""
334,E_other,-0.898000,2.880000,1.678000,1.202000,"7","u_bounded_lfnst_engine/input_terms_q_reg[177]_replica/C","u_bounded_lfnst_engine/products_q_reg[11][5]/D","SLICE_X97Y110","SLICE_X101Y110",""
335,B_kernel_control_to_p4_input_mem,-0.898000,2.880000,0.667000,2.213000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[2][50][1]/D","SLICE_X102Y81","SLICE_X84Y12",""
336,C_other_cache_kernel_or_write,-0.898000,2.879000,0.652000,2.227000,"6","u_unified_p4_kernel/fifo_rd_ptr_q_reg[0]_rep__4/C","vwrite_cmd_data_q_reg[1][14]/D","SLICE_X89Y73","SLICE_X74Y58",""
337,B_kernel_control_to_p4_input_mem,-0.898000,2.881000,0.667000,2.214000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[2][26][1]/D","SLICE_X102Y81","SLICE_X82Y16",""
338,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMA/WE","SLICE_X77Y156","SLICE_X81Y204",""
339,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMB/WE","SLICE_X77Y156","SLICE_X81Y204",""
340,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMC/WE","SLICE_X77Y156","SLICE_X81Y204",""
341,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMD/WE","SLICE_X77Y156","SLICE_X81Y204",""
342,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAME/WE","SLICE_X77Y156","SLICE_X81Y204",""
343,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMF/WE","SLICE_X77Y156","SLICE_X81Y204",""
344,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMG/WE","SLICE_X77Y156","SLICE_X81Y204",""
345,C_other_cache_read_or_response,-0.898000,2.697000,0.583000,2.114000,"6","fill_slot_reg/C","gen_input_slots[0].gen_input_banks[3].u_input_cache_bank/data_mem_reg_704_767_7_13/RAMH/WE","SLICE_X77Y156","SLICE_X81Y204",""
346,B_kernel_control_to_p4_input_mem,-0.898000,2.880000,0.601000,2.279000,"6","kernel_vector_q_reg[1]_rep__2/C","u_unified_p4_kernel/input_mem_reg[2][51][4]/D","SLICE_X100Y81","SLICE_X104Y19",""
347,B_kernel_control_to_p4_input_mem,-0.898000,2.878000,0.513000,2.365000,"6","kernel_vector_q_reg[0]_rep__0/C","u_unified_p4_kernel/input_mem_reg[0][19][11]/D","SLICE_X101Y76","SLICE_X105Y23",""
348,B_kernel_control_to_p4_input_mem,-0.898000,2.881000,0.716000,2.165000,"6","lfnst_grid_reg[30][1]/C","u_unified_p4_kernel/input_mem_reg[0][43][1]/D","SLICE_X102Y81","SLICE_X103Y21",""
349,B_kernel_control_to_p4_input_mem,-0.898000,2.879000,0.474000,2.405000,"6","lfnst_grid_reg[10][8]/C","u_unified_p4_kernel/input_mem_reg[2][46][8]/D","SLICE_X103Y77","SLICE_X86Y17",""
350,B_kernel_control_to_p4_input_mem,-0.898000,2.880000,0.622000,2.258000,"6","lfnst_grid_reg[26][3]/C","u_unified_p4_kernel/input_mem_reg[3][29][3]/D","SLICE_X102Y79","SLICE_X101Y18",""
