index,slack,delay,logic_levels,startpoint,endpoint
2947,-0.192,2.173,7,operand_coeff_reg_reg[12][7]/C,lane_product_reg_reg[12][16]/D
2948,-0.192,2.172,7,operand_coeff_reg_reg[82][2]/C,lane_product_reg_reg[82][4]/D
2949,-0.192,2.173,1,sched_valid_reg_reg[88]_rep__0/C,operand_x_reg_reg[117][6]/D
2950,-0.191,2.171,7,operand_coeff_reg_reg[116][1]/C,lane_product_reg_reg[116][1]/D
2951,-0.191,2.172,7,operand_x_reg_reg[27][3]/C,lane_product_reg_reg[27][3]/D
2952,-0.191,2.171,7,operand_x_reg_reg[36][0]/C,lane_product_reg_reg[36][2]/D
2953,-0.190,2.171,7,operand_coeff_reg_reg[4][3]/C,lane_product_reg_reg[4][3]/D
2954,-0.190,2.087,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__11/CE
2955,-0.190,2.087,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__12/CE
2956,-0.190,2.087,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__13/CE
2957,-0.190,2.087,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__18/CE
2958,-0.190,2.170,7,operand_coeff_reg_reg[1][1]/C,lane_product_reg_reg[1][10]/D
2959,-0.189,2.169,7,operand_coeff_reg_reg[12][7]/C,lane_product_reg_reg[12][18]/D
2960,-0.189,2.169,7,operand_coeff_reg_reg[45][1]/C,lane_product_reg_reg[45][0]/D
2961,-0.189,2.170,7,operand_coeff_reg_reg[82][2]/C,lane_product_reg_reg[82][6]/D
2962,-0.189,2.171,7,operand_x_reg_reg[40][2]/C,lane_product_reg_reg[40][8]/D
2963,-0.188,2.168,7,operand_coeff_reg_reg[61][6]/C,lane_product_reg_reg[108][1]/D
2964,-0.188,2.168,7,operand_x_reg_reg[10][4]/C,lane_product_reg_reg[10][5]/D
2965,-0.188,2.171,7,operand_x_reg_reg[10][1]/C,lane_product_reg_reg[10][2]/D
2966,-0.188,2.168,7,operand_x_reg_reg[13][0]/C,lane_product_reg_reg[13][0]/D
2967,-0.188,2.168,7,operand_coeff_reg_reg[1][1]/C,lane_product_reg_reg[1][16]/D
2968,-0.187,2.167,7,operand_x_reg_reg[13][2]/C,lane_product_reg_reg[13][19]/D
2969,-0.186,2.168,7,operand_x_reg_reg[42][0]/C,lane_product_reg_reg[42][0]/D
2970,-0.186,2.169,7,operand_x_reg_reg[55][1]/C,lane_product_reg_reg[55][1]/D
2971,-0.186,2.166,7,operand_x_reg_reg[37][5]/C,lane_product_reg_reg[69][5]/D
2972,-0.186,2.166,7,operand_x_reg_reg[110][2]/C,lane_product_reg_reg[110][6]/D
2973,-0.186,2.167,7,operand_coeff_reg_reg[117][1]/C,lane_product_reg_reg[117][1]/D
2974,-0.186,2.083,2,bf_cycle_reg[2]/C,bf_vector_id_reg[0]_rep__19/CE
2975,-0.186,2.166,7,operand_x_reg_reg[52][2]/C,lane_product_reg_reg[52][2]/D
2976,-0.185,2.167,7,operand_x_reg_reg[94][2]/C,lane_product_reg_reg[126][3]/D
2977,-0.185,2.165,7,operand_coeff_reg_reg[12][7]/C,lane_product_reg_reg[12][37]/D
2978,-0.185,2.166,7,operand_x_reg_reg[12][2]/C,lane_product_reg_reg[12][5]/D
2979,-0.185,2.167,7,operand_coeff_reg_reg[20][1]/C,lane_product_reg_reg[20][1]/D
2980,-0.185,2.165,7,operand_coeff_reg_reg[37][3]/C,lane_product_reg_reg[37][2]/D
2981,-0.185,2.167,7,operand_coeff_reg_reg[64][6]/C,lane_product_reg_reg[81][8]/D
2982,-0.184,2.164,7,operand_coeff_reg_reg[0][0]/C,lane_product_reg_reg[115][3]/D
2983,-0.184,2.167,7,operand_x_reg_reg[29][5]/C,lane_product_reg_reg[61][5]/D
2984,-0.184,2.164,7,operand_coeff_reg_reg[1][1]/C,lane_product_reg_reg[1][21]/D
2985,-0.183,2.163,7,operand_coeff_reg_reg[77][7]/C,lane_product_reg_reg[77][37]/D
2986,-0.182,2.162,7,operand_coeff_reg_reg[19][1]/C,lane_product_reg_reg[19][0]/D
2987,-0.181,2.162,7,operand_coeff_reg_reg[25][7]/C,lane_product_reg_reg[25][17]/D
2988,-0.181,2.164,7,operand_coeff_reg_reg[123][3]/C,lane_product_reg_reg[123][2]/D
2989,-0.181,2.162,7,operand_coeff_reg_reg[112][1]/C,lane_product_reg_reg[112][0]/D
2990,-0.181,2.163,7,operand_coeff_reg_reg[64][6]/C,lane_product_reg_reg[81][11]/D
2991,-0.181,2.162,7,operand_x_reg_reg[31][0]/C,lane_product_reg_reg[31][0]/D
2992,-0.180,2.162,1,r4a_issue_cycle_reg[0][2]_rep__2/C,sched_coeff_reg_reg[29][3]/D
2993,-0.180,2.161,7,operand_x_reg_reg[92][0]/C,lane_product_reg_reg[124][0]/D
2994,-0.180,2.163,7,operand_x_reg_reg[88][0]/C,lane_product_reg_reg[88][1]/D
2995,-0.180,2.161,7,operand_coeff_reg_reg[65][0]/C,lane_product_reg_reg[65][0]/D
2996,-0.180,2.161,7,operand_coeff_reg_reg[119][0]/C,lane_product_reg_reg[119][0]/D
2997,-0.180,2.159,7,operand_coeff_reg_reg[1][1]/C,lane_product_reg_reg[1][0]/D
2998,-0.179,2.159,7,operand_coeff_reg_reg[85][1]/C,lane_product_reg_reg[85][2]/D
2999,-0.179,2.160,7,operand_coeff_reg_reg[25][7]/C,lane_product_reg_reg[25][16]/D
3000,-0.179,2.162,7,operand_coeff_reg_reg[123][3]/C,lane_product_reg_reg[123][3]/D
3001,-0.179,2.160,7,operand_coeff_reg_reg[66][0]/C,lane_product_reg_reg[66][0]/D
3002,-0.178,2.159,7,operand_coeff_reg_reg[25][7]/C,lane_product_reg_reg[25][22]/D
3003,-0.178,2.161,7,operand_coeff_reg_reg[123][3]/C,lane_product_reg_reg[123][4]/D
3004,-0.178,2.159,7,operand_coeff_reg_reg[25][1]/C,lane_product_reg_reg[25][0]/D
3005,-0.178,2.159,7,operand_coeff_reg_reg[27][6]/C,lane_product_reg_reg[27][19]/D
3006,-0.177,2.157,7,operand_coeff_reg_reg[111][2]/C,lane_product_reg_reg[111][14]/D
3007,-0.177,2.158,7,operand_coeff_reg_reg[112][1]/C,lane_product_reg_reg[112][2]/D
3008,-0.177,2.158,7,operand_coeff_reg_reg[5][0]/C,lane_product_reg_reg[5][0]/D
3009,-0.177,2.158,7,operand_x_reg_reg[12][2]/C,lane_product_reg_reg[12][2]/D
3010,-0.177,2.159,7,operand_x_reg_reg[91][12]/C,lane_product_reg_reg[123][13]/D
3011,-0.176,2.158,7,operand_x_reg_reg[42][0]/C,lane_product_reg_reg[74][1]/D
3012,-0.176,2.157,7,operand_coeff_reg_reg[26][0]/C,lane_product_reg_reg[26][1]/D
3013,-0.175,2.156,7,operand_coeff_reg_reg[107][0]/C,lane_product_reg_reg[107][0]/D
