index,family,slack_ns,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,path_group,path_type,startpoint,endpoint,start_cell,start_loc,start_bel,start_ref,start_fanout,end_cell,end_loc,end_bel,end_ref
20,wrapper_kernel_vector,-0.031000,1.928000,0.458000,1.470000,"5","","","kernel_vector_q_reg[2]/C","kernel_rd_req_group_q_reg[3]/CE","kernel_vector_q_reg[2]","SLICE_X70Y31","SLICEL.BFF2","FDCE","","kernel_rd_req_group_q_reg[3]","SLICE_X73Y54","SLICEL.CFF","FDCE"
21,H_read_or_kernel_control,-0.028000,2.009000,0.446000,1.563000,"5","","","kernel_h_rd_addr_q_reg[2][0]/C","kernel_h_rd_data_q_reg[42]/D","kernel_h_rd_addr_q_reg[2][0]","SLICE_X76Y87","SLICEL.EFF","FDCE","","kernel_h_rd_data_q_reg[42]","SLICE_X69Y68","SLICEL.CFF","FDCE"
22,wrapper_kernel_vector,-0.027000,2.008000,0.527000,1.481000,"5","","","kernel_vector_q_reg[1]_rep__1/C","u_unified_p4_kernel/ingress_data_q_reg[55]/D","kernel_vector_q_reg[1]_rep__1","SLICE_X69Y31","SLICEL.EFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[55]","SLICE_X70Y60","SLICEL.DFF","FDRE"
23,P4_slot_state,-0.027000,1.922000,0.581000,1.341000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","lfnst_tail_index_q_reg[0]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","lfnst_tail_index_q_reg[0]","SLICE_X70Y47","SLICEL.BFF","FDCE"
24,P4_slot_state,-0.027000,1.922000,0.581000,1.341000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","lfnst_tail_index_q_reg[1]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","lfnst_tail_index_q_reg[1]","SLICE_X70Y47","SLICEL.CFF","FDCE"
25,P4_slot_state,-0.027000,1.922000,0.581000,1.341000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","lfnst_tail_index_q_reg[2]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","lfnst_tail_index_q_reg[2]","SLICE_X70Y47","SLICEL.DFF","FDCE"
26,P4_slot_state,-0.027000,1.923000,0.581000,1.342000,"8","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","lfnst_tail_index_q_reg[3]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","lfnst_tail_index_q_reg[3]","SLICE_X70Y47","SLICEL.DFF2","FDCE"
27,P4_fifo_control,-0.026000,2.006000,0.536000,1.470000,"7","","","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__5/C","vwrite_cmd_data_q_reg[0][13]/D","u_unified_p4_kernel/fifo_rd_ptr_q_reg[1]_rep__5","SLICE_X71Y152","SLICEM.BFF","FDCE","","vwrite_cmd_data_q_reg[0][13]","SLICE_X72Y123","SLICEL.BFF","FDCE"
28,wrapper_kernel_vector,-0.026000,2.008000,0.615000,1.393000,"5","","","kernel_vector_q_reg[1]_rep__0/C","u_unified_p4_kernel/ingress_data_q_reg[5]/D","kernel_vector_q_reg[1]_rep__0","SLICE_X68Y27","SLICEL.BFF","FDCE","","u_unified_p4_kernel/ingress_data_q_reg[5]","SLICE_X65Y56","SLICEL.BFF","FDRE"
29,P4_fifo_control,-0.024000,2.005000,0.573000,1.432000,"5","","","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]/C","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[3]_rep__7/D","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]","SLICE_X87Y73","SLICEL.EFF","FDCE","","u_unified_p4_kernel/issue_desc_bundle_addr_q_reg[3]_rep__7","SLICE_X100Y97","SLICEL.FFF","FDCE"
30,P4_slot_state,-0.024000,1.920000,0.454000,1.466000,"4","","","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]/C","u_unified_p4_kernel/slot_state_q_reg[0][0]/CE","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]","SLICE_X87Y73","SLICEL.EFF","FDCE","","u_unified_p4_kernel/slot_state_q_reg[0][0]","SLICE_X72Y68","SLICEL.AFF2","FDCE"
31,P4_slot_state,-0.024000,1.920000,0.454000,1.466000,"4","","","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]/C","u_unified_p4_kernel/slot_state_q_reg[0][1]/CE","u_unified_p4_kernel/ready_rd_ptr_q_reg[0]","SLICE_X87Y73","SLICEL.EFF","FDCE","","u_unified_p4_kernel/slot_state_q_reg[0][1]","SLICE_X72Y68","SLICEL.BFF2","FDCE"
32,cache_read_command,-0.024000,2.003000,0.485000,1.518000,"6","","","rd_cmd_addr_q_reg[0][0][3]_replica_4/C","lfnst_mem_resp_data_q_reg[6]/D","rd_cmd_addr_q_reg[0][0][3]_replica_4","SLICE_X74Y52","SLICEM.AFF","FDCE","","lfnst_mem_resp_data_q_reg[6]","SLICE_X84Y46","SLICEL.DFF","FDCE"
33,cache_read_command,-0.023000,2.005000,0.448000,1.557000,"6","","","rd_cmd_addr_q_reg[1][0][1]_replica_2/C","lfnst_mem_resp_data_q_reg[2]/D","rd_cmd_addr_q_reg[1][0][1]_replica_2","SLICE_X78Y55","SLICEL.BFF","FDCE","","lfnst_mem_resp_data_q_reg[2]","SLICE_X83Y54","SLICEL.FFF","FDCE"
34,P4_slot_state,-0.022000,1.918000,0.503000,1.415000,"5","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","u_unified_p4_kernel/slot_state_q_reg[1][0]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","u_unified_p4_kernel/slot_state_q_reg[1][0]","SLICE_X71Y67","SLICEM.AFF","FDCE"
35,cache_read_command,-0.021000,2.003000,0.549000,1.454000,"6","","","rd_cmd_addr_q_reg[1][2][0]/C","lfnst_mem_resp_data_q_reg[11]/D","rd_cmd_addr_q_reg[1][2][0]","SLICE_X77Y67","SLICEL.AFF2","FDCE","","lfnst_mem_resp_data_q_reg[11]","SLICE_X78Y53","SLICEL.FFF","FDCE"
36,P4_slot_state,-0.020000,1.916000,0.515000,1.401000,"5","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","u_unified_p4_kernel/reserved_groups_q_reg[0]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","u_unified_p4_kernel/reserved_groups_q_reg[0]","SLICE_X72Y66","SLICEL.CFF","FDCE"
37,P4_slot_state,-0.020000,1.916000,0.515000,1.401000,"5","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","u_unified_p4_kernel/reserved_groups_q_reg[1]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","u_unified_p4_kernel/reserved_groups_q_reg[1]","SLICE_X72Y66","SLICEL.BFF","FDCE"
38,P4_slot_state,-0.020000,1.916000,0.515000,1.401000,"5","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","u_unified_p4_kernel/reserved_groups_q_reg[2]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","u_unified_p4_kernel/reserved_groups_q_reg[2]","SLICE_X72Y66","SLICEL.DFF","FDCE"
39,P4_slot_state,-0.020000,1.917000,0.515000,1.402000,"5","","","u_unified_p4_kernel/slot_state_q_reg[2][1]/C","u_unified_p4_kernel/reserved_groups_q_reg[3]/CE","u_unified_p4_kernel/slot_state_q_reg[2][1]","SLICE_X72Y68","SLICEL.EFF","FDCE","","u_unified_p4_kernel/reserved_groups_q_reg[3]","SLICE_X72Y66","SLICEL.BFF2","FDCE"
