event_id,level,phase,slot,destination,operation,even,odd,key
110,64,16,2,81,add,"{""kind"": ""signal"", ""id"": 80}","{""kind"": ""dot"", ""id"": 58}",132098
111,64,16,3,83,add,"{""kind"": ""signal"", ""id"": 82}","{""kind"": ""dot"", ""id"": 59}",132099
112,64,16,4,96,sub,"{""kind"": ""signal"", ""id"": 82}","{""kind"": ""dot"", ""id"": 59}",132100
113,64,16,5,97,sub,"{""kind"": ""signal"", ""id"": 80}","{""kind"": ""dot"", ""id"": 58}",132101
114,64,16,6,98,sub,"{""kind"": ""signal"", ""id"": 78}","{""kind"": ""dot"", ""id"": 57}",132102
115,64,16,7,99,sub,"{""kind"": ""signal"", ""id"": 76}","{""kind"": ""dot"", ""id"": 56}",132103
116,64,17,0,85,add,"{""kind"": ""signal"", ""id"": 84}","{""kind"": ""dot"", ""id"": 60}",132160
117,64,17,1,87,add,"{""kind"": ""signal"", ""id"": 86}","{""kind"": ""dot"", ""id"": 61}",132161
118,64,17,2,89,add,"{""kind"": ""signal"", ""id"": 88}","{""kind"": ""dot"", ""id"": 62}",132162
119,64,17,3,91,add,"{""kind"": ""signal"", ""id"": 90}","{""kind"": ""dot"", ""id"": 63}",132163
120,64,17,4,92,sub,"{""kind"": ""signal"", ""id"": 90}","{""kind"": ""dot"", ""id"": 63}",132164
121,64,17,5,93,sub,"{""kind"": ""signal"", ""id"": 88}","{""kind"": ""dot"", ""id"": 62}",132165
122,64,17,6,94,sub,"{""kind"": ""signal"", ""id"": 86}","{""kind"": ""dot"", ""id"": 61}",132166
123,64,17,7,95,sub,"{""kind"": ""signal"", ""id"": 84}","{""kind"": ""dot"", ""id"": 60}",132167
